depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
709.9174,2.32249908279796e-07,5.16522126982484e-06,7.0823950058694e-07
709.943,4.61346247812596e-07,5.71965509939521e-06,7.28189047985611e-07
709.9681,0,4.60144077050327e-06,6.82756936304612e-07
709.9922,2.78514416840419e-07,5.16879685126185e-06,3.79886010607984e-07
710.0163,3.8893079045158e-07,5.4810338495909e-06,5.27556396871057e-07
710.0404,7.15178698662812e-07,6.18862258354087e-06,3.04627254574126e-07
710.0645,9.32550436892461e-07,6.80550465618473e-06,6.020709330686e-07
710.0886,7.65820415809499e-07,6.94126866983226e-06,2.24125133312606e-06
710.1127,1.76598964369848e-07,5.37616645321547e-06,1.76328017952222e-06
710.1368,1.32442194378069e-06,8.09848889539256e-06,1.69299753444906e-06
710.1609,0,4.95074754989838e-06,1.75393260320201e-06
710.185,1.98272067266358e-07,5.09107928279063e-06,7.30081531408932e-07
710.2091,6.74509838847456e-07,6.36273488926826e-06,1.13683386750423e-06
710.2332,6.64214594132387e-07,6.07221714823484e-06,3.21447758262308e-07
710.2573,9.78727167455814e-07,6.83998390975417e-06,3.69129682902544e-07
710.2814,8.50004466725424e-07,6.67986270554005e-06,8.2219817927179e-07
710.3055,5.93404214716405e-07,6.11223642819308e-06,9.63515232698999e-07
710.3296,5.91816646332467e-07,6.24073830468822e-06,1.36921967899047e-06
710.3537,3.024939254107e-07,5.57170175041858e-06,1.43955120017755e-06
710.3778,2.86937353811467e-07,5.335661004872e-06,8.29811125376159e-07
710.4019,5.53173047487934e-07,5.82401611250701e-06,3.74733709432603e-07
710.426,8.91472324678394e-07,6.65027716553732e-06,4.27333727450838e-07
710.4501,1.17528541594999e-06,7.22013504248461e-06,9.3272624378733e-08
710.4742,1.09863082544818e-06,7.13994634471671e-06,4.09576500415022e-07
710.4983,9.35628217091588e-07,6.71498811157922e-06,3.01921704426668e-07
710.5224,6.36946463035401e-07,6.4703377363143e-06,1.74230760880109e-06
710.5465,8.18277287237076e-07,6.55842102882265e-06,6.82485082131318e-07
710.5706,5.21827895780263e-07,5.8870205779875e-06,7.97836751737812e-07
710.5947,6.83233775643184e-07,6.13239051512744e-06,3.66481353647034e-07
710.6188,9.00915756615635e-07,6.679270175196e-06,4.46981921057258e-07
710.6429,1.11739772412483e-06,7.28817394001355e-06,7.26485369910015e-07
710.667,8.20722406287076e-07,6.67462369037412e-06,1.02089607259581e-06
710.6911,6.23746448406082e-08,4.90566961777502e-06,1.15822268767939e-06
710.7152,0,4.65944600623206e-06,8.60634380232045e-07
710.7393,4.60544401025227e-08,4.6461038292906e-06,4.81942011563933e-07
710.7634,4.65487060523575e-07,5.65569910595829e-06,5.0169314827788e-07
710.7875,1.49781699899783e-07,5.04518488215937e-06,9.44986300664073e-07
710.8116,5.45975511702284e-07,5.84862963753387e-06,5.03001909992106e-07
710.8357,6.55951210293184e-07,6.02275465617274e-06,2.30373508771316e-07
710.8598,1.01967188877936e-06,6.83498595018041e-06,5.35017533042077e-08
710.8839,1.07037347964718e-06,6.97600010311965e-06,1.14071100855848e-07
710.908,1.11078258853832e-06,7.08038745718032e-06,1.3780985940438e-07
710.933,9.8809029598499e-07,6.8708032995002e-06,3.94967579373683e-07
710.9585,6.50161819017952e-07,6.09688811353858e-06,5.00170559057006e-07
